,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
290,145.0s - 145.5s,157,0.0031219373439490437,1159.2611464968154,90,67,0.0050457678876403515,0.0072734817575758025,1244.888888888889,1044.2388059701493,0
291,145.5s - 146.0s,149,0.0034289709463087227,1214.979865771812,89,60,0.005575024999999814,0.008401746779661204,1264.4719101123596,1141.5666666666666,0
292,146.0s - 146.5s,156,0.0031398584743589737,1177.474358974359,93,63,0.005222899554347602,0.007145344435484034,1223.021505376344,1110.2380952380952,0
293,146.5s - 147.0s,144,0.003545874951388887,1147.4444444444443,84,60,0.005665785265060242,0.00729682742372852,1189.595238095238,1088.4333333333334,0
294,147.0s - 147.5s,161,0.0031130896024844715,1148.3850931677018,90,71,0.005056675820224598,0.006976454714285703,1192.8555555555556,1092.0140845070423,0
295,147.5s - 148.0s,149,0.0032925771409395973,1169.0604026845638,81,68,0.006009126187499802,0.007034306134328578,1227.358024691358,1099.6176470588234,0
296,148.0s - 148.5s,160,0.0031855008687500007,1179.20625,93,67,0.005206481163043626,0.007531120015151556,1239.8387096774193,1095.044776119403,0
297,148.5s - 149.0s,144,0.0034587641388888874,1203.263888888889,88,56,0.005406305724138106,0.00886834689090909,1252.965909090909,1125.1607142857142,0
298,149.0s - 149.5s,135,0.0036788891851851848,1172.1037037037038,69,66,0.006783945455882273,0.00751588558461549,1202.5942028985507,1140.2272727272727,0
299,149.5s - 150.0s,160,0.0030427754250000006,1182.46875,96,64,0.005060182294737029,0.00762607901587323,1251.8020833333333,1078.46875,0
300,150.0s - 150.5s,143,0.003570233083916085,1144.4825174825176,76,67,0.006532600333333297,0.007423021863636226,1186.1973684210527,1097.1641791044776,0
301,150.5s - 151.0s,152,0.003313860328947368,1181.0,91,61,0.005457173055555447,0.00822540586666681,1232.3296703296703,1104.4262295081967,0
302,151.0s - 151.5s,159,0.0031297838364779873,1169.2704402515724,95,64,0.005000494606382808,0.007634969476190427,1233.6947368421052,1073.640625,0
