,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,Person
39,19.5s - 20.0s,140,0.0035746820428571415,1135.807142857143,78,78,1
40,20.0s - 20.5s,144,0.0034773097430555564,1162.8055555555557,86,86,1
41,20.5s - 21.0s,140,0.0035729857857142856,1159.7142857142858,84,84,1
42,21.0s - 21.5s,139,0.003527747553956835,1174.63309352518,85,85,1
43,21.5s - 22.0s,140,0.003638370271428573,1168.8142857142857,79,79,1
44,22.0s - 22.5s,136,0.0036204201911764723,1175.3823529411766,79,79,1
45,22.5s - 23.0s,141,0.00354303574468085,1185.4822695035461,89,89,1
46,23.0s - 23.5s,137,0.00365262194890511,1174.6131386861314,75,75,1
47,23.5s - 24.0s,139,0.0036054490359712235,1161.1726618705036,80,80,1
48,24.0s - 24.5s,140,0.0034983087857142848,1162.8642857142856,89,89,1
49,24.5s - 25.0s,152,0.003359936203947369,1165.3881578947369,89,89,1
50,25.0s - 25.5s,145,0.003453196648275861,1202.1793103448276,88,88,1
51,25.5s - 26.0s,140,0.0035718511214285725,1151.7714285714285,85,85,1
52,26.0s - 26.5s,142,0.0034577078802816904,1181.4788732394366,83,83,1
53,26.5s - 27.0s,154,0.003315768870129868,1176.0324675324675,96,96,1
54,27.0s - 27.5s,144,0.0034789908402777783,1147.548611111111,85,85,1
55,27.5s - 28.0s,133,0.003752837586466166,1192.1503759398497,77,77,1
56,28.0s - 28.5s,143,0.003367580545454545,1191.6433566433566,85,85,1
57,28.5s - 29.0s,140,0.003710511649999997,1184.0142857142857,84,84,1
58,29.0s - 29.5s,135,0.0037069857851851854,1182.3555555555556,81,81,1
59,29.5s - 30.0s,144,0.00340796023611111,1176.263888888889,82,82,1
60,30.0s - 30.5s,140,0.003470443064285713,1176.1571428571428,85,85,1
61,30.5s - 31.0s,150,0.0035022623599999998,1143.24,90,90,1
62,31.0s - 31.5s,141,0.0035462471914893623,1145.1843971631206,81,81,1
63,31.5s - 32.0s,136,0.003614089867647058,1172.3088235294117,79,79,1
64,32.0s - 32.5s,138,0.0036228056594202877,1185.1521739130435,83,83,1
65,32.5s - 33.0s,152,0.00329322290131579,1189.4342105263158,91,91,1
66,33.0s - 33.5s,140,0.0035711452285714295,1145.8142857142857,80,80,1
67,33.5s - 34.0s,146,0.0034279550068493157,1182.650684931507,91,91,1
68,34.0s - 34.5s,140,0.0035736651000000006,1186.7785714285715,85,85,1
69,34.5s - 35.0s,150,0.0033390498600000015,1152.62,89,89,1
